Medicine,Dosage,Time,Notes
Paracetamol,500mg,08:00,Take after breakfast
Amoxicillin,250mg,12:00,Take with water
Vitamin C,1000mg,18:00,Take after dinner
Paracetamol,500mg,01:30,Take if needed for pain
Metformin,500mg,07:30,Take with breakfast
Lisinopril,10mg,08:00,Take on empty stomach
Atorvastatin,20mg,20:00,Take before bedtime
Ibuprofen,400mg,13:00,Take with food
Omeprazole,20mg,07:00,Take 30 mins before breakfast
Cetirizine,10mg,22:00,May cause drowsiness
Vitamin D3,1000 IU,09:00,Take with a meal
Aspirin,81mg,08:30,Take with water
Albuterol Inhaler,2 puffs,08:00,As needed for breathing
Levothyroxine,50mcg,06:30,Take 30 mins before breakfast
Amlodipine,5mg,09:00,Take at the same time daily
